word,topic0,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10,topic11,topic12,topic13
articles,0,0,0,0,0,0,0.0001940523,0,0,0,0.00014832394,0,0,0
manufacture,0.00052620927,0,0,0,0,0,0,0,0,0,0,0,0,0
commerce,0.0014976725,0,0,0,0,0.0016580082,0.00067918304,0,0,0.0020949158,0,0,0,0
constant,0.00072859745,0,0,0,0,0,0.00077620919,0,0,0,0,0.0010035682,0,0
economic,0,0,0,0,0,0.0023949007,0.0090719449,0.0063411224,0,0,0,0.016893399,0.00046894888,0.0053346754
development,0.000080955272,0,0,0,0,0.0046424229,0,0,0.000074074074,0.0024977842,0.00014832394,0.0040700268,0.0087760434,0
halts,0.00012143291,0,0,0,0,0,0,0,0,0,0,0,0,0
stands,0,0.000058500059,0.00040947246,0.00025120579,0,0,0.00043661767,0,0,0,0.0010382676,0,0,0
still,0,0.0035100035,0.0016378899,0.0021101286,0.0019436955,0.00099480491,0.0030078106,0.0026962253,0.000074074074,0.00048344211,0.0039305844,0,0,0.001207851
get,0,0.0073710074,0,0,0,0,0,0.0025963651,0,0.0012086053,0,0,0,0
small,0,0,0,0,0,0.00092111566,0.003250376,0.0034451768,0.000074074074,0.00096688422,0.0014832394,0,0,0.00090588827
formerly,0,0,0,0,0,0,0,0,0,0.00032229474,0,0,0,0
imported,0,0,0,0,0,0,0.00029107845,0,0,0,0,0,0.00020097809,0
eagerly,0,0,0,0,0,0,0,0,0,0,0.00037080985,0,0,0
supply,0,0,0,0,0,0,0.0022801145,0,0,0.0033035211,0,0,0.0024787298,0
empty,0,0,0,0,0,0,0,0,0,0.00056401579,0,0,0,0
markets,0,0,0,0,0,0,0.0038325329,0,0,0,0,0.0024531668,0,0
particularly,0,0,0.001160172,0,0,0.0010684942,0.0016009315,0,0,0,0,0,0.00080391237,0
true,0.0010524185,0,0,0.0015574759,0,0,0.0001940523,0,0,0,0.0013349155,0.00083630687,0,0.0017614494
neighbors,0,0.00046800047,0.00061420869,0,0,0,0,0,0,0,0,0.0015053524,0,0.0012581782
states,0,0,0.013922064,0,0.0030722929,0.0078479054,0,0,0.0031851852,0,0.0047463661,0.017116414,0,0
central,0.000040477636,0,0.0035487613,0,0,0.00033160164,0,0,0,0,0,0.00050178412,0,0
south,0,0,0.0061420869,0,0,0,0,0,0,0,0,0,0,0
lines,0,0,0.00020473623,0,0,0.00081058178,0,0,0,0.0047538474,0,0,0,0.00055359839
run,0,0,0,0,0,0,0.0011643138,0.00074895147,0,0.00064458948,0.0007416197,0,0,0
athwart,0,0,0.00013649082,0,0,0,0,0,0,0,0,0,0,0
seas,0,0,0,0,0,0,0,0,0,0.0018531947,0,0,0,0
ports,0,0,0,0,0,0,0,0,0,0.0012086053,0,0,0,0
britain,0.000080955272,0,0.0018426261,0,0,0,0,0,0,0,0,0,0,0
older,0,0,0,0,0,0,0,0.0012981825,0.00037037037,0.00048344211,0,0,0,0
continent,0,0,0.0012284174,0.00055265273,0,0,0,0,0,0,0,0,0,0
stop,0,0.0033345033,0,0,0,0,0,0,0,0,0.0029664788,0,0,0
inquire,0,0,0,0,0,0,0,0,0,0.00056401579,0,0,0,0
why,0,0.0041535042,0.00040947246,0,0,0.000036844626,0,0,0,0,0.0013349155,0,0,0
comment,0,0,0,0,0,0,0,0,0,0.000080573685,0,0,0,0.000050327126
on,0,0,0,0,0,0,0,0,0,0,0,0,0,0
probable,0,0,0,0,0.00037619913,0,0,0,0,0.00032229474,0,0,0,0
causes,0.0010524185,0,0,0,0,0,0.0010672876,0,0,0,0,0,0,0
interests,0.0023072253,0,0.0027298164,0.00015072347,0,0,0,0,0,0,0,0.0035682426,0,0.00090588827
just,0.0019024489,0.0049140049,0,0.0050241158,0,0,0,0.0028959457,0,0,0.0040047464,0,0,0.0014594867
explanation,0,0,0,0,0,0,0,0,0,0,0.00022248591,0,0,0
opportunity,0.0010928962,0.0036855037,0,0,0,0,0,0,0.0025925926,0,0,0.0032337199,0,0.0063412179
